"Insurance Name","Web Address (without http://)","States served (Bundesweit=all states)","Email address or contact form link","Address","Phone Number"
"actimonda krankenkasse","www.actimonda.de","bundesweit","info@actimonda.de","actimonda krankenkasse
Hüttenstr. 1
52068 Aachen","0241 / 90066-0"
"AOK - Die Gesundheitskasse für Niedersachsen","www.aok.de/niedersachsen","Niedersachen","AOK.Niedersachsen@nds.aok.de","Hildesheimer Straße 273
30519 Hannover","0511 8701-0"
"AOK - Die Gesundheitskasse in Hessen","www.aok.de/hessen","Hessen","service@he.aok.de","Fritz Müller 
Basler Str. 2 
61352 Bad Homburg","06404 924 2000"
"AOK Baden-Württemberg","www.aok.de/baden-wuerttemberg/index.php","Baden-Württemberg","info@bw.aok.de","Hauptverwaltung
Presselstraße 19
70191 Stuttgart","0711 2593-0"
"AOK Bayern","www.aok.de/bayern","Bayern","http://www.aok.de/bayern/kontakt/kontakt-2752.php","AOK Bayern - Die Gesundheitskasse, Zentrale 
Carl-Wery-Straße 28 
81739 München","089 5444-0"
"AOK Bremen / Bremerhaven","www.aok.de/bremen","Bremen","info@hb.aok.de","Bürgermeister-Smidt-Straße 95
28195 Bremen","0421 1761-0"
"AOK Nordost - Die Gesundheitskasse","www.aok.de/nordost/","Berlin, Brandenburg, Mecklenburg-Vorpommern","service@nordost.aok.de","Behlertstraße 33 A 
14467 Potsdam","0800 2650800"
"AOK NordWest - Die Gesundheitskasse","www.aok.de/nordwest","Nordrhein-Westfalen, Schleswig- Holstein","kontakt@nw.aok.de","Kopenhagener Straße 1
44269 Dortmund","0231/41930"
"AOK PLUS - Die Gesundheitskasse für Sachsen und Thüringen","www.aok.de/aokplus","Sachsen, Thüringen","service@plus.aok.de","Sternplatz 7
01067 Dresden","0351 4946-18930"
"AOK Rheinland/Hamburg","www.aok.de/rheinland-hamburg","Baden-Württemberg, Hamburg, Nordrhein-Westfalen"," aok@rh.aok.de","Kasernenstr. 61
40213 Düsseldorf","0211 8791-0"
"AOK Rheinland-Pfalz/Saarland- Die Gesundheitskasse","www.aok.de/rheinland-pfalz-saarland/","Rheinland-Pfalz, Saarland","service@rps.aok.de ","Virchowstraße 30
67304 Eisenberg","06351 403-0"
"AOK Sachsen-Anhalt","www.aok.de/sachsen-anhalt","Sachsen-Anhalt","service@san.aok.de","Lüneburger Straße 4
39106 Magdeburg","0800 226 5726"
"atlas BKK ahlmann","www.abkka.de","Bremen, Hamburg, Niedersachen, Schleswig-Holstein","info@abkka.de","Am Kaffee-Quartier 3
28217 Bremen","0421 43551-0"
"Audi BKK","www.Audibkk.de","bundesweit","info@audibkk.de","Postfach 10 01 60 
85001 Ingolstadt","089 15880-0"
"BAHN-BKK","www.bahn-bkk.de","bundesweit","https://www.bahn-bkk.de/Page000204.aspx","Franklinstraße 54 
60486 Frankfurt","0800 22 46 255
069 77 078 0"
